1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16090.11033178698,99908.4126275044,16826.027919298467,277568.6378161726,51916.558501986496,26292.12382858765,19944.619634964467,316468.41085040796,344292.7324657335,19324.724523959067,178429.9649338262,38886.96171995777,96346.7778260827,67081.38866535251,62597.02828123093,19224.794545006444,171048.68602426417,198129.63209346132,427163.403550786,81105.08490851385,219050.74292360694,227566.23082905548,1804086.1646641828,1270549.2572232476,441728.1144836846,3382616.887561157,195258.2337069825,825939.9537997356,61928.47198611549,1770488.173011719,499716.73710173776,2026340.7719458693,1794668.7860880399,4468259.760971534,95361.43546122123,162882.84958261935,5492856.969909558,6863291.007818861,3226971.968020107,4413196.483940285,3306247.2942511453,276253.59266514936,3084666.469737647,15245669.555207936,10418884.972912451,1291956.5331225307,365353.12808189273,1626554.5846657704,4393538.476781702,34472538.65355725,1817948.6845807356,1293058.0625850454,5866640.9627541285,2118768.103069775,8045288.802613261,11360125.494169943,777905.5526550768,30247636.432094906
15179.344212731323,93216.91739317,16136.973636608303,242527.4538756074,42978.15581169833,42182.941095703485,14250.714022923155,301876.57184372,102862.22634738304,13646.88751807941,126192.34516543195,39347.0019955911,57055.69246359343,114883.57353598876,72308.18930381016,9107.480544557573,123881.65850404896,174552.54264831712,424248.49354271265,39938.31670484598,571798.106572143,152599.15589438268,2066891.5231331617,849578.5438486347,433143.70359038195,2264549.5972213927,364171.12238332734,797527.4728296583,83490.31526375144,355175.9069641005,622468.0147714156,1197054.77558677,257902.7880664286,3883478.8687150776,76453.99568877259,197584.77871037243,3991436.3210994895,7445986.118858923,1332563.7760790745,1849090.1119119972,2548876.3280671653,328481.3225142121,4074107.5446538855,9873144.45619335,5810801.531850975,1399006.8825451483,284723.23410620034,349329.914112515,13407652.693301514,28325661.694073085,2169339.0058584693,1943133.9520878652,9388476.219582759,4147503.414630306,18286310.02993678,11496483.15930361,626649.3530691611,41666622.09852895
9613.165626930759,59880.30676475385,9875.43576169745,136313.22590519584,122213.82179840576,21535.28005099347,14113.416673305266,386296.9540065481,243518.79113973485,16646.992378503484,350055.67668695725,36449.23106311409,49343.91921046583,23294.82583208875,43904.81816992258,34525.54062264979,77147.39892884891,621807.1314243887,219127.9088999674,51526.681027244274,162736.25370352747,109428.9437195667,2133596.265526272,510526.49369051773,845016.588374467,3485639.6892855177,172154.20251212583,697772.8472676789,61681.7031421818,400889.9242193868,327388.6085005626,778670.9683404921,409086.98902679485,6373495.350621574,66497.95624559055,102081.9238183455,5591883.445135004,5674157.660809747,1385938.3932654182,2495310.327268524,2578177.6862995224,624844.7655948206,12715378.14524589,5952057.991080393,8968155.335215928,16143514.819518777,707123.5811640134,564429.4494600387,3728002.7758316603,42988136.320179895,2061713.3258497259,1144593.4082750822,5995390.902924452,2784375.417230354,11011390.967923786,8727217.449638639,615975.9111509286,24402671.026906777
8954.783199023266,51723.24409792123,11938.474177104947,219044.35541728613,124538.93611476914,19480.62035364441,7888.645244642264,237424.84232849447,42619.327615215894,10352.057559952078,151479.5368672878,26331.195882588636,36624.38060583045,40703.94977646773,49373.344077855225,11211.367043244794,118916.46744168764,129799.27262136925,233639.32339727657,31357.91306549386,148820.9330746192,133777.34217885422,1663604.4205096404,502754.3353031581,330458.126877695,1491306.8492997289,250266.12358473917,579573.2855286583,90397.80931580266,362844.86933647987,816594.192877856,880688.9521146805,490214.4260556578,3119220.210324674,50617.693379491655,101112.00490785627,4696842.448722953,7894899.885509623,1092013.0001735087,4453748.285686418,2511316.5114833987,174933.82834204443,2570679.717563748,5719906.8920912165,5265857.210419824,7833222.753834774,216826.74733234695,327424.6625135434,3461677.8980885656,9909999.854449917,1138055.7201191897,1062842.476824731,4589257.741586419,7494973.067362528,8638727.509675877,6035627.398823198,461065.6328776993,20513916.915803924
8747.31778088985,142059.84749950652,5510.486690824843,58840.70772861762,27855.958172592516,16720.50923110609,7670.451870742801,200150.9135770126,35883.55818397673,8168.84950412173,69890.71610430264,53008.72416209807,22446.773263793042,15234.934439840188,30007.980128453088,7540.129337158756,90309.92427114976,128172.53122440081,200150.7866248956,42608.32243455376,193839.88584197685,138009.25051235448,1612787.124116893,495641.14313896006,2336271.1310903146,1703903.6506112868,106175.00406464787,569451.258268547,64402.958131209,740821.830249919,255620.2495140608,831237.2356617646,187787.51347562234,2664674.983635553,46581.98869553101,89799.7241933324,4573180.225446951,4838779.120786321,1256421.310693348,3528921.2467352757,1958257.9012894416,154022.54614513225,1864636.5280273776,10081666.656900708,6604845.559115167,1800233.973635712,306859.25082223647,199822.38143360495,2485298.3245794284,14205698.77085162,1272740.0213303282,1125356.7114997632,4141119.6854390544,1733199.7083432814,8015377.826362262,5272608.995849243,619128.956862005,18627332.230240785
8306.411299459773,123480.70454029334,5473.317183093103,82677.41148147246,23049.483539302084,10141.508181078443,6163.361120817624,127354.17151537369,38102.87628873093,9329.742865336593,64834.13436778229,25294.393139358916,24928.418546897487,15861.76213995187,31334.86495294108,8562.110460018674,77453.89235470475,90044.31026750182,448093.3029208924,28648.56439638769,99507.11425638571,99963.81306064563,1345685.1063238848,617811.6205460832,276078.96414969146,1300872.0349988544,173219.27031629125,249728.25561149372,58875.409742797914,383318.0188910721,2310152.0469315206,916715.4773849836,223045.30569247578,4099653.077395669,38242.11087529251,151869.70526678851,3722712.667967548,6404270.614799003,7297374.742922707,1464112.0557701918,1470737.1698162586,175432.31287606063,3676590.5435791695,6556887.328377995,5435349.766756613,1169418.8464684028,503379.88183423417,302996.10279894504,2192036.211429331,57645249.249794595,1024892.1434486771,1000455.1822643556,5494026.1584750945,3908243.5046007484,11818874.085330058,14223735.255634906,226519.9126946692,17198768.95187791
7367.1587660981795,125368.26871543018,3411.811792950138,49235.95015860889,32323.447360376642,11990.335259766676,5347.1254468104935,98735.64527872234,89927.52375232069,15198.778068237218,87552.94950306432,34696.74782212807,82105.79470619783,48868.66723719838,25228.069048870995,9088.174200872432,101780.92688208143,94355.13237001376,290281.35592271533,26449.817414366807,86979.84965131058,90168.83018929878,1564838.6165741514,295227.4906179243,1005674.4482360181,1023451.9611278287,159960.0197445192,169927.10677473637,34141.86372820667,289536.85099295166,428421.4225718203,2761767.1888967557,141860.50637744158,2416458.618282487,43440.27241355009,79372.89441048379,2788368.298361685,3531234.217286255,643854.4981580373,4657209.169151457,3119766.3858886436,115606.3836660194,1848573.0281970364,10354847.09017312,4655190.543680839,837759.5969020186,226130.74777957366,333418.09913731896,2563163.7807360394,6598806.595991617,881299.4004003622,723907.0210220397,4317953.992977799,1686936.5994559925,4250803.650544179,6900698.71542845,168135.43627154594,16746099.663033891
6647.224423275062,122605.75516279727,2827.672873614227,36403.888134731176,22055.132452142487,12685.556030957448,8417.099707373804,62381.11242933692,53302.868896670494,8838.416656039119,84451.32732285345,21059.177909101196,18486.60409402862,23050.6068205805,54263.6952617081,146773.18603062528,55374.36359743375,76394.48812131316,197321.78815761048,25705.42875358883,90060.56599944975,205271.38683131002,1092677.4118719976,390005.7812854497,317719.20507608715,862615.158455964,225984.73127586962,217277.61592370414,56394.451605910486,181971.19708094315,626015.4525870078,918272.8686971522,302354.4575218044,1712449.8492351284,75645.7437111302,85819.5671003523,2033098.4007877007,13298247.169471122,712146.8425453542,840117.6794611815,1278163.4610836091,506957.7728218886,1700035.1779728786,4382836.315560887,5337414.891307567,891313.0147121616,601623.4697453922,315885.9743060575,1714114.8478285086,6751132.6442519715,687325.9452505991,638035.2521993987,13667851.435112026,2531438.7032710835,5481925.026654976,8678637.366524514,509587.8918905864,27066631.48019225
3798.033559683395,147464.75648998359,3034.496157743627,42288.68097065376,13514.1844204825,10118.681813812467,4253.570333420157,94477.51432661245,60680.50497276458,6245.352956691342,132703.1921744815,28523.477495959072,22985.66297167987,33282.438655591664,20652.87964174781,12664.740234965178,49338.89430170841,122874.4521570526,283116.52649095294,20728.606073894636,91261.67835582375,327239.8231851586,918655.3074777052,322167.52847627335,286019.00226021843,503554.07646170957,105698.23551379496,147234.59149840806,35378.08115060252,132766.31927037428,338872.06535020843,616039.2829393012,379502.33113818616,1498300.2586109987,28450.912432488018,85214.5468142621,1511292.664846265,4467162.653308117,558572.6443432027,743925.490636252,1766443.892035034,108145.41177863785,832484.7563717038,3725230.589043929,6083702.597837852,1844927.7975849502,335163.1703668333,245854.04097415117,1629638.2479953563,5469705.6412977185,705792.3123850691,560669.0544486707,2982885.5893221186,2774471.209751236,3305389.9132273574,12201838.922400571,252245.62557404657,18172823.99056823
5576.470500675131,31520.992721436145,2878.54870581894,48034.40930206968,11989.055112173779,7894.635656013544,5380.48243014802,60976.53240267725,19633.77921012239,25283.95472425141,132097.98192371946,24096.71668361877,13025.502095947413,10820.76804147193,21558.406673306963,5995.699350974243,66837.90073844566,60948.03371335137,234258.66154541005,14309.062992830019,90692.40776147442,74954.52391163756,1370769.7632115416,1068050.439752434,219072.7995759575,841854.8041667506,109029.65366887733,159442.7805566189,26913.722855717173,172421.5702938774,99002.2663334103,641824.2807516519,192796.78131327435,1747270.4340711823,28030.220648691433,72095.01232562301,2123433.35124206,3244650.9297418115,676207.4358230619,1034062.0044137911,1344209.432198863,182422.30579711281,1076494.4711478797,2810016.8737435676,4716780.098695966,2656338.2470945753,164233.06924899152,99410.50825290367,2983315.731243759,11651375.211050725,3011246.6544322497,484738.9474173935,3702829.664266888,1200825.7534980956,6115384.8042229265,5414667.832361269,189339.36534259006,12302457.030006748
